ID,number,customer_ID,invoiceDate,dueDate,amount,currency
20000000-0000-0000-0000-000000000001,INV-1001,10000000-0000-0000-0000-000000000001,2026-08-01,2026-09-15,5000.00,EUR
20000000-0000-0000-0000-000000000002,INV-1002,10000000-0000-0000-0000-000000000001,2026-07-01,2026-08-03,5200.00,EUR
20000000-0000-0000-0000-000000000003,INV-1003,10000000-0000-0000-0000-000000000001,2026-06-01,2026-07-14,8300.00,EUR
20000000-0000-0000-0000-000000000004,INV-2001,10000000-0000-0000-0000-000000000002,2026-07-20,2026-08-20,3000.00,EUR
20000000-0000-0000-0000-000000000005,INV-2002,10000000-0000-0000-0000-000000000002,2026-05-20,2026-06-20,4500.00,EUR
20000000-0000-0000-0000-000000000006,INV-2003,10000000-0000-0000-0000-000000000002,2026-04-01,2026-05-01,6000.00,EUR
20000000-0000-0000-0000-000000000007,INV-3001,10000000-0000-0000-0000-000000000003,2026-06-30,2026-07-30,2200.00,EUR
20000000-0000-0000-0000-000000000008,INV-3002,10000000-0000-0000-0000-000000000003,2026-04-20,2026-05-20,3100.00,EUR
20000000-0000-0000-0000-000000000009,INV-4001,10000000-0000-0000-0000-000000000004,2026-08-01,2026-09-01,7000.00,EUR
20000000-0000-0000-0000-000000000010,INV-4002,10000000-0000-0000-0000-000000000004,2026-07-10,2026-08-10,1500.00,EUR
20000000-0000-0000-0000-000000000011,INV-4003,10000000-0000-0000-0000-000000000004,2026-03-01,2026-04-01,9800.00,EUR
20000000-0000-0000-0000-000000000012,INV-5001,10000000-0000-0000-0000-000000000005,2026-07-25,2026-08-25,1200.00,EUR
20000000-0000-0000-0000-000000000013,INV-5002,10000000-0000-0000-0000-000000000005,2026-06-05,2026-07-05,2600.00,EUR
20000000-0000-0000-0000-000000000014,INV-5003,10000000-0000-0000-0000-000000000005,2026-05-01,2026-06-01,3300.00,EUR
